rental_item_id,contract_id,vendor_equipment_id,equipment_category,equipment_name,model,serial_number,quantity,daily_rate,weekly_rate,monthly_rate,delivery_fee,pickup_fee,currency_code,condition_at_delivery,condition_at_return,created_at,updated_at,correlation_id
RIT-000053,RC-2026-0053,VEQ-02-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00053,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2025-11-16T12:00:00Z,2025-12-11T12:00:00Z,ER-2026-000053
RIT-000054,RC-2026-0054,VEQ-02-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00054,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2025-11-25T12:00:00Z,2025-12-27T12:00:00Z,ER-2026-000054
RIT-000055,RC-2026-0055,VEQ-02-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00055,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2025-12-04T12:00:00Z,2026-01-12T12:00:00Z,ER-2026-000055
RIT-000056,RC-2026-0056,VEQ-02-04,Excavator,Mini Excavator,CAT 305,CAT305-00056,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2025-12-13T12:00:00Z,2026-01-21T12:00:00Z,ER-2026-000056
RIT-000057,RC-2026-0057,VEQ-03-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00057,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2025-12-22T12:00:00Z,2026-01-16T12:00:00Z,ER-2026-000057
RIT-000058,RC-2026-0058,VEQ-03-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00058,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2025-12-31T12:00:00Z,2026-02-01T12:00:00Z,ER-2026-000058
RIT-000059,RC-2026-0059,VEQ-03-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00059,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2026-01-09T12:00:00Z,2026-02-17T12:00:00Z,ER-2026-000059
RIT-000060,RC-2026-0060,VEQ-03-04,Excavator,Mini Excavator,CAT 305,CAT305-00060,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2026-01-18T12:00:00Z,2026-02-05T12:00:00Z,ER-2026-000060
RIT-000061,RC-2026-0061,VEQ-04-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00061,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2026-01-27T12:00:00Z,2026-02-21T12:00:00Z,ER-2026-000061
RIT-000062,RC-2026-0062,VEQ-04-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00062,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2026-02-05T12:00:00Z,2026-03-09T12:00:00Z,ER-2026-000062
RIT-000063,RC-2026-0063,VEQ-04-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00063,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2026-02-14T12:00:00Z,2026-04-15T12:00:00Z,ER-2026-000063
RIT-000064,RC-2026-0064,VEQ-04-04,Excavator,Mini Excavator,CAT 305,CAT305-00064,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2026-02-23T12:00:00Z,2026-03-13T12:00:00Z,ER-2026-000064
RIT-000065,RC-2026-0065,VEQ-05-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00065,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2026-03-04T12:00:00Z,2026-03-29T12:00:00Z,ER-2026-000065
RIT-000066,RC-2026-0066,VEQ-05-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00066,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2026-03-13T12:00:00Z,2026-04-14T12:00:00Z,ER-2026-000066
RIT-000067,RC-2026-0067,VEQ-05-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00067,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2026-03-22T12:00:00Z,2026-04-30T12:00:00Z,ER-2026-000067
RIT-000068,RC-2026-0068,VEQ-05-04,Excavator,Mini Excavator,CAT 305,CAT305-00068,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2026-03-31T12:00:00Z,2026-04-18T12:00:00Z,ER-2026-000068
RIT-000069,RC-2026-0069,VEQ-06-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00069,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2026-04-09T12:00:00Z,2026-05-04T12:00:00Z,ER-2026-000069
RIT-000070,RC-2026-0070,VEQ-06-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00070,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2026-04-18T12:00:00Z,2026-06-10T12:00:00Z,ER-2026-000070
RIT-000071,RC-2026-0071,VEQ-06-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00071,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2026-04-27T12:00:00Z,2026-06-05T12:00:00Z,ER-2026-000071
RIT-000072,RC-2026-0072,VEQ-06-04,Excavator,Mini Excavator,CAT 305,CAT305-00072,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2026-05-06T12:00:00Z,2026-05-24T12:00:00Z,ER-2026-000072
RIT-000073,RC-2026-0073,VEQ-01-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00073,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Good,2026-05-15T12:00:00Z,2026-06-09T12:00:00Z,ER-2026-000073
RIT-000074,RC-2026-0074,VEQ-01-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00074,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2026-05-24T12:00:00Z,2026-06-25T12:00:00Z,ER-2026-000074
RIT-000075,RC-2026-0075,VEQ-01-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00075,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Good,2026-06-02T12:00:00Z,2026-07-11T12:00:00Z,ER-2026-000075
RIT-000076,RC-2026-0076,VEQ-01-04,Excavator,Mini Excavator,CAT 305,CAT305-00076,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2026-06-11T12:00:00Z,2026-06-29T12:00:00Z,ER-2026-000076
RIT-000077,RC-2026-0077,VEQ-02-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00077,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2026-06-20T12:00:00Z,2026-08-05T12:00:00Z,ER-2026-000077
RIT-000078,RC-2026-0078,VEQ-02-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00078,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Good,2026-06-29T12:00:00Z,2026-07-31T12:00:00Z,ER-2026-000078
RIT-000079,RC-2026-0079,VEQ-02-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00079,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2026-07-08T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000079
RIT-000080,RC-2026-0080,VEQ-02-04,Excavator,Mini Excavator,CAT 305,CAT305-00080,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Good,2026-07-17T12:00:00Z,2026-08-04T12:00:00Z,ER-2026-000080
RIT-000081,RC-2026-0081,VEQ-03-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00081,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2026-07-26T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000081
RIT-000082,RC-2026-0082,VEQ-03-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00082,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2026-08-04T12:00:00Z,2026-08-09T12:00:00Z,ER-2026-000082
RIT-000083,RC-2026-0083,VEQ-03-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00083,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2026-08-26T12:00:00Z,2026-08-26T12:00:00Z,ER-2026-000083
RIT-000084,RC-2026-0084,VEQ-03-04,Excavator,Mini Excavator,CAT 305,CAT305-00084,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2026-09-20T12:00:00Z,2026-09-20T12:00:00Z,ER-2026-000084
RIT-000085,RC-2026-0085,VEQ-04-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00085,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2026-10-15T12:00:00Z,2026-10-15T12:00:00Z,ER-2026-000085
RIT-000086,RC-2026-0086,VEQ-04-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00086,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2026-11-09T12:00:00Z,2026-11-09T12:00:00Z,ER-2026-000086
RIT-000087,RC-2026-0087,VEQ-04-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00087,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2026-12-04T12:00:00Z,2026-12-04T12:00:00Z,ER-2026-000087
RIT-000088,RC-2026-0088,VEQ-04-04,Excavator,Mini Excavator,CAT 305,CAT305-00088,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2026-12-29T12:00:00Z,2026-12-29T12:00:00Z,ER-2026-000088
RIT-000089,RC-2026-0089,VEQ-05-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00089,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2027-01-23T12:00:00Z,2027-01-23T12:00:00Z,ER-2026-000089
RIT-000090,RC-2026-0090,VEQ-05-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00090,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2027-02-17T12:00:00Z,2027-02-17T12:00:00Z,ER-2026-000090
RIT-000091,RC-2026-0091,VEQ-05-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00091,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2027-03-14T12:00:00Z,2027-03-14T12:00:00Z,ER-2026-000091
RIT-000092,RC-2026-0092,VEQ-05-04,Excavator,Mini Excavator,CAT 305,CAT305-00092,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2027-04-08T12:00:00Z,2027-04-08T12:00:00Z,ER-2026-000092
RIT-000093,RC-2026-0093,VEQ-06-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00093,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2027-05-03T12:00:00Z,2027-05-03T12:00:00Z,ER-2026-000093
RIT-000094,RC-2026-0094,VEQ-06-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00094,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2027-05-28T12:00:00Z,2027-05-28T12:00:00Z,ER-2026-000094
RIT-000095,RC-2026-0095,VEQ-06-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00095,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2027-06-22T12:00:00Z,2027-06-22T12:00:00Z,ER-2026-000095
RIT-000096,RC-2026-0096,VEQ-06-04,Excavator,Mini Excavator,CAT 305,CAT305-00096,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2027-07-17T12:00:00Z,2027-07-17T12:00:00Z,ER-2026-000096
RIT-000097,RC-2026-0097,VEQ-01-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00097,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2027-08-11T12:00:00Z,2027-08-11T12:00:00Z,ER-2026-000097
RIT-000098,RC-2026-0098,VEQ-01-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00098,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2027-09-05T12:00:00Z,2027-09-05T12:00:00Z,ER-2026-000098
RIT-000099,RC-2026-0099,VEQ-01-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00099,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2027-09-30T12:00:00Z,2027-09-30T12:00:00Z,ER-2026-000099
RIT-000100,RC-2026-0100,VEQ-01-04,Excavator,Mini Excavator,CAT 305,CAT305-00100,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2027-10-25T12:00:00Z,2027-10-25T12:00:00Z,ER-2026-000100
RIT-000101,RC-2026-0101,VEQ-02-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00101,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2027-11-19T12:00:00Z,2027-11-19T12:00:00Z,ER-2026-000101
RIT-000102,RC-2026-0102,VEQ-02-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00102,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2027-12-14T12:00:00Z,2027-12-14T12:00:00Z,ER-2026-000102
RIT-000103,RC-2026-0103,VEQ-02-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00103,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2028-01-08T12:00:00Z,2028-01-08T12:00:00Z,ER-2026-000103
RIT-000104,RC-2026-0104,VEQ-02-04,Excavator,Mini Excavator,CAT 305,CAT305-00104,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2028-02-02T12:00:00Z,2028-02-02T12:00:00Z,ER-2026-000104
RIT-000105,RC-2026-0105,VEQ-03-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00105,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2028-02-27T12:00:00Z,2028-02-27T12:00:00Z,ER-2026-000105
RIT-000106,RC-2026-0106,VEQ-03-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00106,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2028-03-23T12:00:00Z,2028-03-23T12:00:00Z,ER-2026-000106
RIT-000107,RC-2026-0107,VEQ-03-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00107,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2028-04-17T12:00:00Z,2028-04-17T12:00:00Z,ER-2026-000107
RIT-000108,RC-2026-0108,VEQ-03-04,Excavator,Mini Excavator,CAT 305,CAT305-00108,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2028-05-12T12:00:00Z,2028-05-12T12:00:00Z,ER-2026-000108
