rental_request_id,request_number,requested_by_staff_id,department_id,delivery_location_id,request_date,needed_start_date,needed_end_date,business_reason,estimated_cost,currency_code,request_status,approved_by_staff_id,approval_date,created_at,updated_at,correlation_id
RR-2026-0011,REQ-2024-0011,STF-009,DEP-003,LOC-ATL-001,2024-11-03,2024-11-07,2024-12-12,Capital project,4875.00,USD,Approved,STF-010,2024-11-05,2024-11-03T12:00:00Z,2024-11-07T12:00:00Z,ER-2026-000011
RR-2026-0012,REQ-2024-0012,STF-013,DEP-004,LOC-PHX-001,2024-11-12,2024-11-16,2024-11-30,Planned maintenance,2370.00,USD,Approved,STF-014,2024-11-14,2024-11-12T12:00:00Z,2024-11-16T12:00:00Z,ER-2026-000012
RR-2026-0013,REQ-2024-0013,STF-001,DEP-001,LOC-CHI-001,2024-11-21,2024-11-25,2024-12-16,Plant outage support,4365.00,USD,Approved,STF-002,2024-11-23,2024-11-21T12:00:00Z,2024-11-25T12:00:00Z,ER-2026-000013
RR-2026-0014,REQ-2024-0014,STF-005,DEP-002,LOC-DAL-001,2024-11-30,2024-12-04,2025-01-22,Field repair,2520.00,USD,Approved,STF-006,2024-12-02,2024-11-30T12:00:00Z,2024-12-04T12:00:00Z,ER-2026-000014
RR-2026-0015,REQ-2024-0015,STF-009,DEP-003,LOC-ATL-001,2024-12-09,2024-12-13,2025-01-17,Capital project,4875.00,USD,Approved,STF-010,2024-12-11,2024-12-09T12:00:00Z,2024-12-13T12:00:00Z,ER-2026-000015
RR-2026-0016,REQ-2024-0016,STF-013,DEP-004,LOC-PHX-001,2024-12-18,2024-12-22,2025-01-05,Planned maintenance,2370.00,USD,Approved,STF-014,2024-12-20,2024-12-18T12:00:00Z,2024-12-22T12:00:00Z,ER-2026-000016
RR-2026-0017,REQ-2024-0017,STF-001,DEP-001,LOC-CHI-001,2024-12-27,2024-12-31,2025-01-21,Plant outage support,4365.00,USD,Cancelled,,,2024-12-27T12:00:00Z,2024-12-31T12:00:00Z,ER-2026-000017
RR-2026-0018,REQ-2025-0018,STF-005,DEP-002,LOC-DAL-001,2025-01-05,2025-01-09,2025-02-06,Field repair,2520.00,USD,Approved,STF-006,2025-01-07,2025-01-05T12:00:00Z,2025-01-09T12:00:00Z,ER-2026-000018
RR-2026-0019,REQ-2025-0019,STF-009,DEP-003,LOC-ATL-001,2025-01-14,2025-01-18,2025-02-22,Capital project,4875.00,USD,Approved,STF-010,2025-01-16,2025-01-14T12:00:00Z,2025-01-18T12:00:00Z,ER-2026-000019
RR-2026-0020,REQ-2025-0020,STF-013,DEP-004,LOC-PHX-001,2025-01-23,2025-01-27,2025-02-10,Planned maintenance,2370.00,USD,Approved,STF-014,2025-01-25,2025-01-23T12:00:00Z,2025-01-27T12:00:00Z,ER-2026-000020
RR-2026-0021,REQ-2025-0021,STF-001,DEP-001,LOC-CHI-001,2025-02-01,2025-02-05,2025-03-19,Plant outage support,4365.00,USD,Approved,STF-002,2025-02-03,2025-02-01T12:00:00Z,2025-02-05T12:00:00Z,ER-2026-000021
RR-2026-0022,REQ-2025-0022,STF-005,DEP-002,LOC-DAL-001,2025-02-10,2025-02-14,2025-03-14,Field repair,2520.00,USD,Approved,STF-006,2025-02-12,2025-02-10T12:00:00Z,2025-02-14T12:00:00Z,ER-2026-000022
RR-2026-0023,REQ-2025-0023,STF-009,DEP-003,LOC-ATL-001,2025-02-19,2025-02-23,2025-03-30,Capital project,4875.00,USD,Approved,STF-010,2025-02-21,2025-02-19T12:00:00Z,2025-02-23T12:00:00Z,ER-2026-000023
RR-2026-0024,REQ-2025-0024,STF-013,DEP-004,LOC-PHX-001,2025-02-28,2025-03-04,2025-03-18,Planned maintenance,2370.00,USD,Approved,STF-014,2025-03-02,2025-02-28T12:00:00Z,2025-03-04T12:00:00Z,ER-2026-000024
RR-2026-0025,REQ-2025-0025,STF-001,DEP-001,LOC-CHI-001,2025-03-09,2025-03-13,2025-04-03,Plant outage support,4365.00,USD,Approved,STF-002,2025-03-11,2025-03-09T12:00:00Z,2025-03-13T12:00:00Z,ER-2026-000025
RR-2026-0026,REQ-2025-0026,STF-005,DEP-002,LOC-DAL-001,2025-03-18,2025-03-22,2025-04-19,Field repair,2520.00,USD,Approved,STF-006,2025-03-20,2025-03-18T12:00:00Z,2025-03-22T12:00:00Z,ER-2026-000026
RR-2026-0027,REQ-2025-0027,STF-009,DEP-003,LOC-ATL-001,2025-03-27,2025-03-31,2025-05-05,Capital project,4875.00,USD,Approved,STF-010,2025-03-29,2025-03-27T12:00:00Z,2025-03-31T12:00:00Z,ER-2026-000027
RR-2026-0028,REQ-2025-0028,STF-013,DEP-004,LOC-PHX-001,2025-04-05,2025-04-09,2025-05-14,Planned maintenance,2370.00,USD,Approved,STF-014,2025-04-07,2025-04-05T12:00:00Z,2025-04-09T12:00:00Z,ER-2026-000028
RR-2026-0029,REQ-2025-0029,STF-001,DEP-001,LOC-CHI-001,2025-04-14,2025-04-18,2025-05-09,Plant outage support,4365.00,USD,Approved,STF-002,2025-04-16,2025-04-14T12:00:00Z,2025-04-18T12:00:00Z,ER-2026-000029
RR-2026-0030,REQ-2025-0030,STF-005,DEP-002,LOC-DAL-001,2025-04-23,2025-04-27,2025-05-25,Field repair,2520.00,USD,Approved,STF-006,2025-04-25,2025-04-23T12:00:00Z,2025-04-27T12:00:00Z,ER-2026-000030
RR-2026-0031,REQ-2025-0031,STF-009,DEP-003,LOC-ATL-001,2025-05-02,2025-05-06,2025-06-10,Capital project,4875.00,USD,Approved,STF-010,2025-05-04,2025-05-02T12:00:00Z,2025-05-06T12:00:00Z,ER-2026-000031
RR-2026-0032,REQ-2025-0032,STF-013,DEP-004,LOC-PHX-001,2025-05-11,2025-05-15,2025-05-29,Planned maintenance,2370.00,USD,Approved,STF-014,2025-05-13,2025-05-11T12:00:00Z,2025-05-15T12:00:00Z,ER-2026-000032
RR-2026-0033,REQ-2025-0033,STF-001,DEP-001,LOC-CHI-001,2025-05-20,2025-05-24,2025-06-14,Plant outage support,4365.00,USD,Approved,STF-002,2025-05-22,2025-05-20T12:00:00Z,2025-05-24T12:00:00Z,ER-2026-000033
RR-2026-0034,REQ-2025-0034,STF-005,DEP-002,LOC-DAL-001,2025-05-29,2025-06-02,2025-06-30,Field repair,2520.00,USD,Cancelled,,,2025-05-29T12:00:00Z,2025-06-02T12:00:00Z,ER-2026-000034
RR-2026-0035,REQ-2025-0035,STF-009,DEP-003,LOC-ATL-001,2025-06-07,2025-06-11,2025-08-06,Capital project,4875.00,USD,Approved,STF-010,2025-06-09,2025-06-07T12:00:00Z,2025-06-11T12:00:00Z,ER-2026-000035
RR-2026-0036,REQ-2025-0036,STF-013,DEP-004,LOC-PHX-001,2025-06-16,2025-06-20,2025-07-04,Planned maintenance,2370.00,USD,Approved,STF-014,2025-06-18,2025-06-16T12:00:00Z,2025-06-20T12:00:00Z,ER-2026-000036
RR-2026-0037,REQ-2025-0037,STF-001,DEP-001,LOC-CHI-001,2025-06-25,2025-06-29,2025-07-20,Plant outage support,4365.00,USD,Approved,STF-002,2025-06-27,2025-06-25T12:00:00Z,2025-06-29T12:00:00Z,ER-2026-000037
RR-2026-0038,REQ-2025-0038,STF-005,DEP-002,LOC-DAL-001,2025-07-04,2025-07-08,2025-08-05,Field repair,2520.00,USD,Approved,STF-006,2025-07-06,2025-07-04T12:00:00Z,2025-07-08T12:00:00Z,ER-2026-000038
RR-2026-0039,REQ-2025-0039,STF-009,DEP-003,LOC-ATL-001,2025-07-13,2025-07-17,2025-08-21,Capital project,4875.00,USD,Approved,STF-010,2025-07-15,2025-07-13T12:00:00Z,2025-07-17T12:00:00Z,ER-2026-000039
RR-2026-0040,REQ-2025-0040,STF-013,DEP-004,LOC-PHX-001,2025-07-22,2025-07-26,2025-08-09,Planned maintenance,2370.00,USD,Approved,STF-014,2025-07-24,2025-07-22T12:00:00Z,2025-07-26T12:00:00Z,ER-2026-000040
RR-2026-0041,REQ-2025-0041,STF-001,DEP-001,LOC-CHI-001,2025-07-31,2025-08-04,2025-08-25,Plant outage support,4365.00,USD,Approved,STF-002,2025-08-02,2025-07-31T12:00:00Z,2025-08-04T12:00:00Z,ER-2026-000041
RR-2026-0042,REQ-2025-0042,STF-005,DEP-002,LOC-DAL-001,2025-08-09,2025-08-13,2025-10-01,Field repair,2520.00,USD,Approved,STF-006,2025-08-11,2025-08-09T12:00:00Z,2025-08-13T12:00:00Z,ER-2026-000042
RR-2026-0043,REQ-2025-0043,STF-009,DEP-003,LOC-ATL-001,2025-08-18,2025-08-22,2025-09-26,Capital project,4875.00,USD,Approved,STF-010,2025-08-20,2025-08-18T12:00:00Z,2025-08-22T12:00:00Z,ER-2026-000043
RR-2026-0044,REQ-2025-0044,STF-013,DEP-004,LOC-PHX-001,2025-08-27,2025-08-31,2025-09-14,Planned maintenance,2370.00,USD,Approved,STF-014,2025-08-29,2025-08-27T12:00:00Z,2025-08-31T12:00:00Z,ER-2026-000044
RR-2026-0045,REQ-2025-0045,STF-001,DEP-001,LOC-CHI-001,2025-09-05,2025-09-09,2025-09-30,Plant outage support,4365.00,USD,Approved,STF-002,2025-09-07,2025-09-05T12:00:00Z,2025-09-09T12:00:00Z,ER-2026-000045
RR-2026-0046,REQ-2025-0046,STF-005,DEP-002,LOC-DAL-001,2025-09-14,2025-09-18,2025-10-16,Field repair,2520.00,USD,Approved,STF-006,2025-09-16,2025-09-14T12:00:00Z,2025-09-18T12:00:00Z,ER-2026-000046
RR-2026-0047,REQ-2025-0047,STF-009,DEP-003,LOC-ATL-001,2025-09-23,2025-09-27,2025-11-01,Capital project,4875.00,USD,Approved,STF-010,2025-09-25,2025-09-23T12:00:00Z,2025-09-27T12:00:00Z,ER-2026-000047
RR-2026-0048,REQ-2025-0048,STF-013,DEP-004,LOC-PHX-001,2025-10-02,2025-10-06,2025-10-20,Planned maintenance,2370.00,USD,Approved,STF-014,2025-10-04,2025-10-02T12:00:00Z,2025-10-06T12:00:00Z,ER-2026-000048
RR-2026-0049,REQ-2025-0049,STF-001,DEP-001,LOC-CHI-001,2025-10-11,2025-10-15,2025-11-26,Plant outage support,4365.00,USD,Approved,STF-002,2025-10-13,2025-10-11T12:00:00Z,2025-10-15T12:00:00Z,ER-2026-000049
RR-2026-0050,REQ-2025-0050,STF-005,DEP-002,LOC-DAL-001,2025-10-20,2025-10-24,2025-11-21,Field repair,2520.00,USD,Approved,STF-006,2025-10-22,2025-10-20T12:00:00Z,2025-10-24T12:00:00Z,ER-2026-000050
RR-2026-0051,REQ-2025-0051,STF-009,DEP-003,LOC-ATL-001,2025-10-29,2025-11-02,2025-12-07,Capital project,4875.00,USD,Cancelled,,,2025-10-29T12:00:00Z,2025-11-02T12:00:00Z,ER-2026-000051
RR-2026-0052,REQ-2025-0052,STF-013,DEP-004,LOC-PHX-001,2025-11-07,2025-11-11,2025-11-25,Planned maintenance,2370.00,USD,Approved,STF-014,2025-11-09,2025-11-07T12:00:00Z,2025-11-11T12:00:00Z,ER-2026-000052
RR-2026-0053,REQ-2025-0053,STF-001,DEP-001,LOC-CHI-001,2025-11-16,2025-11-20,2025-12-11,Plant outage support,4365.00,USD,Approved,STF-002,2025-11-18,2025-11-16T12:00:00Z,2025-11-20T12:00:00Z,ER-2026-000053
RR-2026-0054,REQ-2025-0054,STF-005,DEP-002,LOC-DAL-001,2025-11-25,2025-11-29,2025-12-27,Field repair,2520.00,USD,Approved,STF-006,2025-11-27,2025-11-25T12:00:00Z,2025-11-29T12:00:00Z,ER-2026-000054
RR-2026-0055,REQ-2025-0055,STF-009,DEP-003,LOC-ATL-001,2025-12-04,2025-12-08,2026-01-12,Capital project,4875.00,USD,Approved,STF-010,2025-12-06,2025-12-04T12:00:00Z,2025-12-08T12:00:00Z,ER-2026-000055
RR-2026-0056,REQ-2025-0056,STF-013,DEP-004,LOC-PHX-001,2025-12-13,2025-12-17,2026-01-21,Planned maintenance,2370.00,USD,Approved,STF-014,2025-12-15,2025-12-13T12:00:00Z,2025-12-17T12:00:00Z,ER-2026-000056
RR-2026-0057,REQ-2025-0057,STF-001,DEP-001,LOC-CHI-001,2025-12-22,2025-12-26,2026-01-16,Plant outage support,4365.00,USD,Approved,STF-002,2025-12-24,2025-12-22T12:00:00Z,2025-12-26T12:00:00Z,ER-2026-000057
RR-2026-0058,REQ-2026-0058,STF-005,DEP-002,LOC-DAL-001,2025-12-31,2026-01-04,2026-02-01,Field repair,2520.00,USD,Approved,STF-006,2026-01-02,2025-12-31T12:00:00Z,2026-01-04T12:00:00Z,ER-2026-000058
RR-2026-0059,REQ-2026-0059,STF-009,DEP-003,LOC-ATL-001,2026-01-09,2026-01-13,2026-02-17,Capital project,4875.00,USD,Approved,STF-010,2026-01-11,2026-01-09T12:00:00Z,2026-01-13T12:00:00Z,ER-2026-000059
RR-2026-0060,REQ-2026-0060,STF-013,DEP-004,LOC-PHX-001,2026-01-18,2026-01-22,2026-02-05,Planned maintenance,2370.00,USD,Approved,STF-014,2026-01-20,2026-01-18T12:00:00Z,2026-01-22T12:00:00Z,ER-2026-000060
RR-2026-0061,REQ-2026-0061,STF-001,DEP-001,LOC-CHI-001,2026-01-27,2026-01-31,2026-02-21,Plant outage support,4365.00,USD,Approved,STF-002,2026-01-29,2026-01-27T12:00:00Z,2026-01-31T12:00:00Z,ER-2026-000061
RR-2026-0062,REQ-2026-0062,STF-005,DEP-002,LOC-DAL-001,2026-02-05,2026-02-09,2026-03-09,Field repair,2520.00,USD,Approved,STF-006,2026-02-07,2026-02-05T12:00:00Z,2026-02-09T12:00:00Z,ER-2026-000062
RR-2026-0063,REQ-2026-0063,STF-009,DEP-003,LOC-ATL-001,2026-02-14,2026-02-18,2026-04-15,Capital project,4875.00,USD,Approved,STF-010,2026-02-16,2026-02-14T12:00:00Z,2026-02-18T12:00:00Z,ER-2026-000063
RR-2026-0064,REQ-2026-0064,STF-013,DEP-004,LOC-PHX-001,2026-02-23,2026-02-27,2026-03-13,Planned maintenance,2370.00,USD,Approved,STF-014,2026-02-25,2026-02-23T12:00:00Z,2026-02-27T12:00:00Z,ER-2026-000064
RR-2026-0065,REQ-2026-0065,STF-001,DEP-001,LOC-CHI-001,2026-03-04,2026-03-08,2026-03-29,Plant outage support,4365.00,USD,Approved,STF-002,2026-03-06,2026-03-04T12:00:00Z,2026-03-08T12:00:00Z,ER-2026-000065
RR-2026-0066,REQ-2026-0066,STF-005,DEP-002,LOC-DAL-001,2026-03-13,2026-03-17,2026-04-14,Field repair,2520.00,USD,Approved,STF-006,2026-03-15,2026-03-13T12:00:00Z,2026-03-17T12:00:00Z,ER-2026-000066
RR-2026-0067,REQ-2026-0067,STF-009,DEP-003,LOC-ATL-001,2026-03-22,2026-03-26,2026-04-30,Capital project,4875.00,USD,Approved,STF-010,2026-03-24,2026-03-22T12:00:00Z,2026-03-26T12:00:00Z,ER-2026-000067
RR-2026-0068,REQ-2026-0068,STF-013,DEP-004,LOC-PHX-001,2026-03-31,2026-04-04,2026-04-18,Planned maintenance,2370.00,USD,Cancelled,,,2026-03-31T12:00:00Z,2026-04-04T12:00:00Z,ER-2026-000068
RR-2026-0069,REQ-2026-0069,STF-001,DEP-001,LOC-CHI-001,2026-04-09,2026-04-13,2026-05-04,Plant outage support,4365.00,USD,Approved,STF-002,2026-04-11,2026-04-09T12:00:00Z,2026-04-13T12:00:00Z,ER-2026-000069
RR-2026-0070,REQ-2026-0070,STF-005,DEP-002,LOC-DAL-001,2026-04-18,2026-04-22,2026-06-10,Field repair,2520.00,USD,Approved,STF-006,2026-04-20,2026-04-18T12:00:00Z,2026-04-22T12:00:00Z,ER-2026-000070
RR-2026-0071,REQ-2026-0071,STF-009,DEP-003,LOC-ATL-001,2026-04-27,2026-05-01,2026-06-05,Capital project,4875.00,USD,Approved,STF-010,2026-04-29,2026-04-27T12:00:00Z,2026-05-01T12:00:00Z,ER-2026-000071
RR-2026-0072,REQ-2026-0072,STF-013,DEP-004,LOC-PHX-001,2026-05-06,2026-05-10,2026-05-24,Planned maintenance,2370.00,USD,Approved,STF-014,2026-05-08,2026-05-06T12:00:00Z,2026-05-10T12:00:00Z,ER-2026-000072
RR-2026-0073,REQ-2026-0073,STF-001,DEP-001,LOC-CHI-001,2026-05-15,2026-05-19,2026-06-09,Plant outage support,4365.00,USD,Approved,STF-002,2026-05-17,2026-05-15T12:00:00Z,2026-05-19T12:00:00Z,ER-2026-000073
RR-2026-0074,REQ-2026-0074,STF-005,DEP-002,LOC-DAL-001,2026-05-24,2026-05-28,2026-06-25,Field repair,2520.00,USD,Approved,STF-006,2026-05-26,2026-05-24T12:00:00Z,2026-05-28T12:00:00Z,ER-2026-000074
RR-2026-0075,REQ-2026-0075,STF-009,DEP-003,LOC-ATL-001,2026-06-02,2026-06-06,2026-07-11,Capital project,4875.00,USD,Approved,STF-010,2026-06-04,2026-06-02T12:00:00Z,2026-06-06T12:00:00Z,ER-2026-000075
RR-2026-0076,REQ-2026-0076,STF-013,DEP-004,LOC-PHX-001,2026-06-11,2026-06-15,2026-06-29,Planned maintenance,2370.00,USD,Approved,STF-014,2026-06-13,2026-06-11T12:00:00Z,2026-06-15T12:00:00Z,ER-2026-000076
RR-2026-0077,REQ-2026-0077,STF-001,DEP-001,LOC-CHI-001,2026-06-20,2026-06-24,2026-08-05,Plant outage support,4365.00,USD,Approved,STF-002,2026-06-22,2026-06-20T12:00:00Z,2026-06-24T12:00:00Z,ER-2026-000077
RR-2026-0078,REQ-2026-0078,STF-005,DEP-002,LOC-DAL-001,2026-06-29,2026-07-03,2026-07-31,Field repair,2520.00,USD,Approved,STF-006,2026-07-01,2026-06-29T12:00:00Z,2026-07-03T12:00:00Z,ER-2026-000078
RR-2026-0079,REQ-2026-0079,STF-009,DEP-003,LOC-ATL-001,2026-07-08,2026-07-12,2026-08-16,Capital project,4875.00,USD,Approved,STF-010,2026-07-10,2026-07-08T12:00:00Z,2026-07-12T12:00:00Z,ER-2026-000079
RR-2026-0080,REQ-2026-0080,STF-013,DEP-004,LOC-PHX-001,2026-07-17,2026-07-21,2026-08-04,Planned maintenance,2370.00,USD,Approved,STF-014,2026-07-19,2026-07-17T12:00:00Z,2026-07-21T12:00:00Z,ER-2026-000080
RR-2026-0081,REQ-2026-0081,STF-001,DEP-001,LOC-CHI-001,2026-07-26,2026-07-30,2026-08-20,Plant outage support,4365.00,USD,Approved,STF-002,2026-07-28,2026-07-26T12:00:00Z,2026-07-30T12:00:00Z,ER-2026-000081
RR-2026-0082,REQ-2026-0082,STF-005,DEP-002,LOC-DAL-001,2026-08-04,2026-08-08,2026-09-05,Field repair,2520.00,USD,Approved,STF-006,2026-08-06,2026-08-04T12:00:00Z,2026-08-08T12:00:00Z,ER-2026-000082
RR-2026-0083,REQ-2026-0083,STF-009,DEP-003,LOC-ATL-001,2026-08-26,2026-08-30,2026-10-04,Capital project,4875.00,USD,Approved,STF-010,2026-08-28,2026-08-26T12:00:00Z,2026-08-30T12:00:00Z,ER-2026-000083
RR-2026-0084,REQ-2026-0084,STF-013,DEP-004,LOC-PHX-001,2026-09-20,2026-09-24,2026-10-08,Planned maintenance,2370.00,USD,Submitted,,,2026-09-20T12:00:00Z,2026-09-24T12:00:00Z,ER-2026-000084
RR-2026-0085,REQ-2026-0085,STF-001,DEP-001,LOC-CHI-001,2026-10-15,2026-10-19,2026-11-09,Plant outage support,4365.00,USD,Approved,STF-002,2026-10-17,2026-10-15T12:00:00Z,2026-10-19T12:00:00Z,ER-2026-000085
RR-2026-0086,REQ-2026-0086,STF-005,DEP-002,LOC-DAL-001,2026-11-09,2026-11-13,2026-12-11,Field repair,2520.00,USD,Approved,STF-006,2026-11-11,2026-11-09T12:00:00Z,2026-11-13T12:00:00Z,ER-2026-000086
RR-2026-0087,REQ-2026-0087,STF-009,DEP-003,LOC-ATL-001,2026-12-04,2026-12-08,2027-01-12,Capital project,4875.00,USD,Submitted,,,2026-12-04T12:00:00Z,2026-12-08T12:00:00Z,ER-2026-000087
RR-2026-0088,REQ-2027-0088,STF-013,DEP-004,LOC-PHX-001,2026-12-29,2027-01-02,2027-01-16,Planned maintenance,2370.00,USD,Approved,STF-014,2026-12-31,2026-12-29T12:00:00Z,2027-01-02T12:00:00Z,ER-2026-000088
RR-2026-0089,REQ-2027-0089,STF-001,DEP-001,LOC-CHI-001,2027-01-23,2027-01-27,2027-02-17,Plant outage support,4365.00,USD,Approved,STF-002,2027-01-25,2027-01-23T12:00:00Z,2027-01-27T12:00:00Z,ER-2026-000089
RR-2026-0090,REQ-2027-0090,STF-005,DEP-002,LOC-DAL-001,2027-02-17,2027-02-21,2027-03-21,Field repair,2520.00,USD,Submitted,,,2027-02-17T12:00:00Z,2027-02-21T12:00:00Z,ER-2026-000090
RR-2026-0091,REQ-2027-0091,STF-009,DEP-003,LOC-ATL-001,2027-03-14,2027-03-18,2027-04-22,Capital project,4875.00,USD,Approved,STF-010,2027-03-16,2027-03-14T12:00:00Z,2027-03-18T12:00:00Z,ER-2026-000091
RR-2026-0092,REQ-2027-0092,STF-013,DEP-004,LOC-PHX-001,2027-04-08,2027-04-12,2027-04-26,Planned maintenance,2370.00,USD,Approved,STF-014,2027-04-10,2027-04-08T12:00:00Z,2027-04-12T12:00:00Z,ER-2026-000092
RR-2026-0093,REQ-2027-0093,STF-001,DEP-001,LOC-CHI-001,2027-05-03,2027-05-07,2027-05-28,Plant outage support,4365.00,USD,Submitted,,,2027-05-03T12:00:00Z,2027-05-07T12:00:00Z,ER-2026-000093
RR-2026-0094,REQ-2027-0094,STF-005,DEP-002,LOC-DAL-001,2027-05-28,2027-06-01,2027-06-29,Field repair,2520.00,USD,Approved,STF-006,2027-05-30,2027-05-28T12:00:00Z,2027-06-01T12:00:00Z,ER-2026-000094
RR-2026-0095,REQ-2027-0095,STF-009,DEP-003,LOC-ATL-001,2027-06-22,2027-06-26,2027-07-31,Capital project,4875.00,USD,Approved,STF-010,2027-06-24,2027-06-22T12:00:00Z,2027-06-26T12:00:00Z,ER-2026-000095
RR-2026-0096,REQ-2027-0096,STF-013,DEP-004,LOC-PHX-001,2027-07-17,2027-07-21,2027-08-04,Planned maintenance,2370.00,USD,Submitted,,,2027-07-17T12:00:00Z,2027-07-21T12:00:00Z,ER-2026-000096
RR-2026-0097,REQ-2027-0097,STF-001,DEP-001,LOC-CHI-001,2027-08-11,2027-08-15,2027-09-05,Plant outage support,4365.00,USD,Approved,STF-002,2027-08-13,2027-08-11T12:00:00Z,2027-08-15T12:00:00Z,ER-2026-000097
RR-2026-0098,REQ-2027-0098,STF-005,DEP-002,LOC-DAL-001,2027-09-05,2027-09-09,2027-10-07,Field repair,2520.00,USD,Approved,STF-006,2027-09-07,2027-09-05T12:00:00Z,2027-09-09T12:00:00Z,ER-2026-000098
RR-2026-0099,REQ-2027-0099,STF-009,DEP-003,LOC-ATL-001,2027-09-30,2027-10-04,2027-11-08,Capital project,4875.00,USD,Submitted,,,2027-09-30T12:00:00Z,2027-10-04T12:00:00Z,ER-2026-000099
RR-2026-0100,REQ-2027-0100,STF-013,DEP-004,LOC-PHX-001,2027-10-25,2027-10-29,2027-11-12,Planned maintenance,2370.00,USD,Approved,STF-014,2027-10-27,2027-10-25T12:00:00Z,2027-10-29T12:00:00Z,ER-2026-000100
RR-2026-0101,REQ-2027-0101,STF-001,DEP-001,LOC-CHI-001,2027-11-19,2027-11-23,2027-12-14,Plant outage support,4365.00,USD,Approved,STF-002,2027-11-21,2027-11-19T12:00:00Z,2027-11-23T12:00:00Z,ER-2026-000101
RR-2026-0102,REQ-2027-0102,STF-005,DEP-002,LOC-DAL-001,2027-12-14,2027-12-18,2028-01-15,Field repair,2520.00,USD,Submitted,,,2027-12-14T12:00:00Z,2027-12-18T12:00:00Z,ER-2026-000102
RR-2026-0103,REQ-2028-0103,STF-009,DEP-003,LOC-ATL-001,2028-01-08,2028-01-12,2028-02-16,Capital project,4875.00,USD,Approved,STF-010,2028-01-10,2028-01-08T12:00:00Z,2028-01-12T12:00:00Z,ER-2026-000103
RR-2026-0104,REQ-2028-0104,STF-013,DEP-004,LOC-PHX-001,2028-02-02,2028-02-06,2028-02-20,Planned maintenance,2370.00,USD,Approved,STF-014,2028-02-04,2028-02-02T12:00:00Z,2028-02-06T12:00:00Z,ER-2026-000104
RR-2026-0105,REQ-2028-0105,STF-001,DEP-001,LOC-CHI-001,2028-02-27,2028-03-02,2028-03-23,Plant outage support,4365.00,USD,Submitted,,,2028-02-27T12:00:00Z,2028-03-02T12:00:00Z,ER-2026-000105
RR-2026-0106,REQ-2028-0106,STF-005,DEP-002,LOC-DAL-001,2028-03-23,2028-03-27,2028-04-24,Field repair,2520.00,USD,Approved,STF-006,2028-03-25,2028-03-23T12:00:00Z,2028-03-27T12:00:00Z,ER-2026-000106
