pickup_return_request_id,contract_id,vendor_id,vendor_location_id,request_type,requested_date,preferred_pickup_date,scheduled_pickup_date,vendor_confirmation_number,request_status,inspection_result,damage_flags,equipment_returned_date,created_at,updated_at,correlation_id
PRR-000015,RC-2026-0015,VND-002,VLOC-02-02,Standard Pickup,2025-01-14,2025-01-16,2025-01-17,PICK-000015,Completed,Pass,None,2025-01-17,2025-01-14T12:00:00Z,2025-01-17T12:00:00Z,ER-2026-000015
PRR-000016,RC-2026-0016,VND-002,VLOC-02-02,Standard Pickup,2025-01-02,2025-01-04,2025-01-05,PICK-000016,Completed,Pass,None,2025-01-05,2025-01-02T12:00:00Z,2025-01-05T12:00:00Z,ER-2026-000016
PRR-000018,RC-2026-0018,VND-003,VLOC-03-01,Standard Pickup,2025-02-03,2025-02-05,2025-02-06,PICK-000018,Completed,Pass,None,2025-02-06,2025-02-03T12:00:00Z,2025-02-06T12:00:00Z,ER-2026-000018
PRR-000019,RC-2026-0019,VND-003,VLOC-03-01,Standard Pickup,2025-02-19,2025-02-21,2025-02-22,PICK-000019,Completed,Pass,None,2025-02-22,2025-02-19T12:00:00Z,2025-02-22T12:00:00Z,ER-2026-000019
PRR-000020,RC-2026-0020,VND-003,VLOC-03-01,Standard Pickup,2025-02-07,2025-02-09,2025-02-10,PICK-000020,Completed,Pass,None,2025-02-10,2025-02-07T12:00:00Z,2025-02-10T12:00:00Z,ER-2026-000020
PRR-000022,RC-2026-0022,VND-003,VLOC-03-02,Standard Pickup,2025-03-11,2025-03-13,2025-03-14,PICK-000022,Completed,Pass,None,2025-03-14,2025-03-11T12:00:00Z,2025-03-14T12:00:00Z,ER-2026-000022
PRR-000023,RC-2026-0023,VND-003,VLOC-03-02,Standard Pickup,2025-03-27,2025-03-29,2025-03-30,PICK-000023,Completed,Pass,None,2025-03-30,2025-03-27T12:00:00Z,2025-03-30T12:00:00Z,ER-2026-000023
PRR-000024,RC-2026-0024,VND-003,VLOC-03-02,Standard Pickup,2025-03-15,2025-03-17,2025-03-18,PICK-000024,Completed,Pass,None,2025-03-18,2025-03-15T12:00:00Z,2025-03-18T12:00:00Z,ER-2026-000024
PRR-000025,RC-2026-0025,VND-001,VLOC-01-01,Standard Pickup,2025-03-31,2025-04-02,2025-04-03,PICK-000025,Completed,Pass,None,2025-04-03,2025-03-31T12:00:00Z,2025-04-03T12:00:00Z,ER-2026-000025
PRR-000026,RC-2026-0026,VND-001,VLOC-01-01,Standard Pickup,2025-04-16,2025-04-18,2025-04-19,PICK-000026,Completed,Pass,None,2025-04-19,2025-04-16T12:00:00Z,2025-04-19T12:00:00Z,ER-2026-000026
PRR-000027,RC-2026-0027,VND-001,VLOC-01-01,Standard Pickup,2025-05-02,2025-05-04,2025-05-05,PICK-000027,Completed,Pass,None,2025-05-05,2025-05-02T12:00:00Z,2025-05-05T12:00:00Z,ER-2026-000027
PRR-000029,RC-2026-0029,VND-001,VLOC-01-02,Standard Pickup,2025-05-06,2025-05-08,2025-05-09,PICK-000029,Completed,Pass,None,2025-05-09,2025-05-06T12:00:00Z,2025-05-09T12:00:00Z,ER-2026-000029
PRR-000030,RC-2026-0030,VND-001,VLOC-01-02,Standard Pickup,2025-05-22,2025-05-24,2025-05-25,PICK-000030,Completed,Pass,None,2025-05-25,2025-05-22T12:00:00Z,2025-05-25T12:00:00Z,ER-2026-000030
PRR-000031,RC-2026-0031,VND-001,VLOC-01-02,Standard Pickup,2025-06-07,2025-06-09,2025-06-10,PICK-000031,Completed,Pass,None,2025-06-10,2025-06-07T12:00:00Z,2025-06-10T12:00:00Z,ER-2026-000031
PRR-000032,RC-2026-0032,VND-001,VLOC-01-02,Standard Pickup,2025-05-26,2025-05-28,2025-05-29,PICK-000032,Completed,Pass,None,2025-05-29,2025-05-26T12:00:00Z,2025-05-29T12:00:00Z,ER-2026-000032
PRR-000033,RC-2026-0033,VND-002,VLOC-02-01,Standard Pickup,2025-06-11,2025-06-13,2025-06-14,PICK-000033,Completed,Pass,None,2025-06-14,2025-06-11T12:00:00Z,2025-06-14T12:00:00Z,ER-2026-000033
PRR-000036,RC-2026-0036,VND-002,VLOC-02-01,Standard Pickup,2025-07-01,2025-07-03,2025-07-04,PICK-000036,Completed,Pass,None,2025-07-04,2025-07-01T12:00:00Z,2025-07-04T12:00:00Z,ER-2026-000036
PRR-000037,RC-2026-0037,VND-002,VLOC-02-02,Standard Pickup,2025-07-17,2025-07-19,2025-07-20,PICK-000037,Completed,Pass,None,2025-07-20,2025-07-17T12:00:00Z,2025-07-20T12:00:00Z,ER-2026-000037
PRR-000038,RC-2026-0038,VND-002,VLOC-02-02,Standard Pickup,2025-08-02,2025-08-04,2025-08-05,PICK-000038,Completed,Pass,None,2025-08-05,2025-08-02T12:00:00Z,2025-08-05T12:00:00Z,ER-2026-000038
PRR-000039,RC-2026-0039,VND-002,VLOC-02-02,Standard Pickup,2025-08-18,2025-08-20,2025-08-21,PICK-000039,Completed,Pass,None,2025-08-21,2025-08-18T12:00:00Z,2025-08-21T12:00:00Z,ER-2026-000039
PRR-000040,RC-2026-0040,VND-002,VLOC-02-02,Standard Pickup,2025-08-06,2025-08-08,2025-08-09,PICK-000040,Completed,Pass,None,2025-08-09,2025-08-06T12:00:00Z,2025-08-09T12:00:00Z,ER-2026-000040
PRR-000041,RC-2026-0041,VND-003,VLOC-03-01,Standard Pickup,2025-08-22,2025-08-24,2025-08-25,PICK-000041,Completed,Pass,None,2025-08-25,2025-08-22T12:00:00Z,2025-08-25T12:00:00Z,ER-2026-000041
PRR-000043,RC-2026-0043,VND-003,VLOC-03-01,Standard Pickup,2025-09-23,2025-09-25,2025-09-26,PICK-000043,Completed,Pass,None,2025-09-26,2025-09-23T12:00:00Z,2025-09-26T12:00:00Z,ER-2026-000043
PRR-000044,RC-2026-0044,VND-003,VLOC-03-01,Standard Pickup,2025-09-11,2025-09-13,2025-09-14,PICK-000044,Completed,Pass,None,2025-09-14,2025-09-11T12:00:00Z,2025-09-14T12:00:00Z,ER-2026-000044
PRR-000045,RC-2026-0045,VND-003,VLOC-03-02,Standard Pickup,2025-09-27,2025-09-29,2025-09-30,PICK-000045,Completed,Pass,None,2025-09-30,2025-09-27T12:00:00Z,2025-09-30T12:00:00Z,ER-2026-000045
PRR-000046,RC-2026-0046,VND-003,VLOC-03-02,Standard Pickup,2025-10-13,2025-10-15,2025-10-16,PICK-000046,Completed,Pass,None,2025-10-16,2025-10-13T12:00:00Z,2025-10-16T12:00:00Z,ER-2026-000046
PRR-000047,RC-2026-0047,VND-003,VLOC-03-02,Standard Pickup,2025-10-29,2025-10-31,2025-11-01,PICK-000047,Completed,Pass,None,2025-11-01,2025-10-29T12:00:00Z,2025-11-01T12:00:00Z,ER-2026-000047
PRR-000048,RC-2026-0048,VND-003,VLOC-03-02,Standard Pickup,2025-10-17,2025-10-19,2025-10-20,PICK-000048,Completed,Pass,None,2025-10-20,2025-10-17T12:00:00Z,2025-10-20T12:00:00Z,ER-2026-000048
PRR-000050,RC-2026-0050,VND-001,VLOC-01-01,Standard Pickup,2025-11-18,2025-11-20,2025-11-21,PICK-000050,Completed,Pass,None,2025-11-21,2025-11-18T12:00:00Z,2025-11-21T12:00:00Z,ER-2026-000050
PRR-000052,RC-2026-0052,VND-001,VLOC-01-01,Standard Pickup,2025-11-22,2025-11-24,2025-11-25,PICK-000052,Completed,Pass,None,2025-11-25,2025-11-22T12:00:00Z,2025-11-25T12:00:00Z,ER-2026-000052
PRR-000053,RC-2026-0053,VND-001,VLOC-01-02,Standard Pickup,2025-12-08,2025-12-10,2025-12-11,PICK-000053,Completed,Pass,None,2025-12-11,2025-12-08T12:00:00Z,2025-12-11T12:00:00Z,ER-2026-000053
PRR-000054,RC-2026-0054,VND-001,VLOC-01-02,Standard Pickup,2025-12-24,2025-12-26,2025-12-27,PICK-000054,Completed,Pass,None,2025-12-27,2025-12-24T12:00:00Z,2025-12-27T12:00:00Z,ER-2026-000054
PRR-000055,RC-2026-0055,VND-001,VLOC-01-02,Standard Pickup,2026-01-09,2026-01-11,2026-01-12,PICK-000055,Completed,Pass,None,2026-01-12,2026-01-09T12:00:00Z,2026-01-12T12:00:00Z,ER-2026-000055
PRR-000057,RC-2026-0057,VND-002,VLOC-02-01,Standard Pickup,2026-01-13,2026-01-15,2026-01-16,PICK-000057,Completed,Pass,None,2026-01-16,2026-01-13T12:00:00Z,2026-01-16T12:00:00Z,ER-2026-000057
PRR-000058,RC-2026-0058,VND-002,VLOC-02-01,Standard Pickup,2026-01-29,2026-01-31,2026-02-01,PICK-000058,Completed,Pass,None,2026-02-01,2026-01-29T12:00:00Z,2026-02-01T12:00:00Z,ER-2026-000058
PRR-000059,RC-2026-0059,VND-002,VLOC-02-01,Standard Pickup,2026-02-14,2026-02-16,2026-02-17,PICK-000059,Completed,Pass,None,2026-02-17,2026-02-14T12:00:00Z,2026-02-17T12:00:00Z,ER-2026-000059
PRR-000060,RC-2026-0060,VND-002,VLOC-02-01,Standard Pickup,2026-02-02,2026-02-04,2026-02-05,PICK-000060,Completed,Pass,None,2026-02-05,2026-02-02T12:00:00Z,2026-02-05T12:00:00Z,ER-2026-000060
PRR-000061,RC-2026-0061,VND-002,VLOC-02-02,Standard Pickup,2026-02-18,2026-02-20,2026-02-21,PICK-000061,Completed,Pass,None,2026-02-21,2026-02-18T12:00:00Z,2026-02-21T12:00:00Z,ER-2026-000061
PRR-000062,RC-2026-0062,VND-002,VLOC-02-02,Standard Pickup,2026-03-06,2026-03-08,2026-03-09,PICK-000062,Completed,Pass,None,2026-03-09,2026-03-06T12:00:00Z,2026-03-09T12:00:00Z,ER-2026-000062
PRR-000064,RC-2026-0064,VND-002,VLOC-02-02,Standard Pickup,2026-03-10,2026-03-12,2026-03-13,PICK-000064,Completed,Pass,None,2026-03-13,2026-03-10T12:00:00Z,2026-03-13T12:00:00Z,ER-2026-000064
PRR-000065,RC-2026-0065,VND-003,VLOC-03-01,Standard Pickup,2026-03-26,2026-03-28,2026-03-29,PICK-000065,Completed,Pass,None,2026-03-29,2026-03-26T12:00:00Z,2026-03-29T12:00:00Z,ER-2026-000065
PRR-000066,RC-2026-0066,VND-003,VLOC-03-01,Standard Pickup,2026-04-11,2026-04-13,2026-04-14,PICK-000066,Completed,Pass,None,2026-04-14,2026-04-11T12:00:00Z,2026-04-14T12:00:00Z,ER-2026-000066
PRR-000067,RC-2026-0067,VND-003,VLOC-03-01,Standard Pickup,2026-04-27,2026-04-29,2026-04-30,PICK-000067,Completed,Pass,None,2026-04-30,2026-04-27T12:00:00Z,2026-04-30T12:00:00Z,ER-2026-000067
PRR-000069,RC-2026-0069,VND-003,VLOC-03-02,Standard Pickup,2026-05-01,2026-05-03,2026-05-04,PICK-000069,Completed,Pass,None,2026-05-04,2026-05-01T12:00:00Z,2026-05-04T12:00:00Z,ER-2026-000069
PRR-000071,RC-2026-0071,VND-003,VLOC-03-02,Standard Pickup,2026-06-02,2026-06-04,2026-06-05,PICK-000071,Completed,Pass,None,2026-06-05,2026-06-02T12:00:00Z,2026-06-05T12:00:00Z,ER-2026-000071
PRR-000072,RC-2026-0072,VND-003,VLOC-03-02,Standard Pickup,2026-05-21,2026-05-23,2026-05-24,PICK-000072,Completed,Pass,None,2026-05-24,2026-05-21T12:00:00Z,2026-05-24T12:00:00Z,ER-2026-000072
PRR-000073,RC-2026-0073,VND-001,VLOC-01-01,Standard Pickup,2026-06-06,2026-06-08,2026-06-09,PICK-000073,Completed,Pass,None,2026-06-09,2026-06-06T12:00:00Z,2026-06-09T12:00:00Z,ER-2026-000073
PRR-000074,RC-2026-0074,VND-001,VLOC-01-01,Standard Pickup,2026-06-22,2026-06-24,2026-06-25,PICK-000074,Completed,Pass,None,2026-06-25,2026-06-22T12:00:00Z,2026-06-25T12:00:00Z,ER-2026-000074
PRR-000075,RC-2026-0075,VND-001,VLOC-01-01,Standard Pickup,2026-07-08,2026-07-10,2026-07-11,PICK-000075,Completed,Pass,None,2026-07-11,2026-07-08T12:00:00Z,2026-07-11T12:00:00Z,ER-2026-000075
PRR-000076,RC-2026-0076,VND-001,VLOC-01-01,Standard Pickup,2026-06-26,2026-06-28,2026-06-29,PICK-000076,Completed,Pass,None,2026-06-29,2026-06-26T12:00:00Z,2026-06-29T12:00:00Z,ER-2026-000076
PRR-000078,RC-2026-0078,VND-001,VLOC-01-02,Standard Pickup,2026-07-28,2026-07-30,2026-07-31,PICK-000078,Completed,Pass,None,2026-07-31,2026-07-28T12:00:00Z,2026-07-31T12:00:00Z,ER-2026-000078
PRR-000080,RC-2026-0080,VND-001,VLOC-01-02,Standard Pickup,2026-08-01,2026-08-03,2026-08-04,PICK-000080,Completed,Pass,None,2026-08-04,2026-08-01T12:00:00Z,2026-08-04T12:00:00Z,ER-2026-000080
