contract_id,rental_request_id,vendor_id,vendor_location_id,department_id,requested_by_staff_id,approved_by_staff_id,delivery_location_id,billing_location_id,contract_number,start_date,end_date,original_end_date,total_estimated_price,actual_total_price,tax_amount,damage_charge_amount,currency_code,billing_frequency,status,uipath_case_id,source_event_id,created_at,updated_at,correlation_id
RC-2026-0011,RR-2026-0011,VND-002,VLOC-02-01,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-002-CN-2024-0011,2024-11-07,2024-12-12,2024-12-12,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000011,VENDOR-EVT-000011,2024-11-03T12:00:00Z,2024-12-12T12:00:00Z,ER-2026-000011
RC-2026-0012,RR-2026-0012,VND-002,VLOC-02-01,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-002-CN-2024-0012,2024-11-16,2024-11-30,2024-11-30,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000012,2024-11-12T12:00:00Z,2024-11-30T12:00:00Z,ER-2026-000012
RC-2026-0013,RR-2026-0013,VND-002,VLOC-02-02,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-002-CN-2024-0013,2024-11-25,2024-12-16,2024-12-16,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000013,VENDOR-EVT-000013,2024-11-21T12:00:00Z,2024-12-16T12:00:00Z,ER-2026-000013
RC-2026-0014,RR-2026-0014,VND-002,VLOC-02-02,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-002-CN-2024-0014,2024-12-04,2025-01-01,2025-01-01,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000014,VENDOR-EVT-000014,2024-11-30T12:00:00Z,2025-01-01T12:00:00Z,ER-2026-000014
RC-2026-0015,RR-2026-0015,VND-002,VLOC-02-02,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-002-CN-2024-0015,2024-12-13,2025-01-17,2025-01-17,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000015,2024-12-09T12:00:00Z,2025-01-17T12:00:00Z,ER-2026-000015
RC-2026-0016,RR-2026-0016,VND-002,VLOC-02-02,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-002-CN-2024-0016,2024-12-22,2025-01-05,2025-01-05,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000016,VENDOR-EVT-000016,2024-12-18T12:00:00Z,2025-01-05T12:00:00Z,ER-2026-000016
RC-2026-0018,RR-2026-0018,VND-003,VLOC-03-01,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-003-CN-2025-0018,2025-01-09,2025-02-06,2025-02-06,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000018,2025-01-05T12:00:00Z,2025-02-06T12:00:00Z,ER-2026-000018
RC-2026-0019,RR-2026-0019,VND-003,VLOC-03-01,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-003-CN-2025-0019,2025-01-18,2025-02-22,2025-02-22,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000019,VENDOR-EVT-000019,2025-01-14T12:00:00Z,2025-02-22T12:00:00Z,ER-2026-000019
RC-2026-0020,RR-2026-0020,VND-003,VLOC-03-01,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-003-CN-2025-0020,2025-01-27,2025-02-10,2025-02-10,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000020,VENDOR-EVT-000020,2025-01-23T12:00:00Z,2025-02-10T12:00:00Z,ER-2026-000020
RC-2026-0021,RR-2026-0021,VND-003,VLOC-03-02,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-003-CN-2025-0021,2025-02-05,2025-02-26,2025-02-26,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000021,2025-02-01T12:00:00Z,2025-02-26T12:00:00Z,ER-2026-000021
RC-2026-0022,RR-2026-0022,VND-003,VLOC-03-02,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-003-CN-2025-0022,2025-02-14,2025-03-14,2025-03-14,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000022,VENDOR-EVT-000022,2025-02-10T12:00:00Z,2025-03-14T12:00:00Z,ER-2026-000022
RC-2026-0023,RR-2026-0023,VND-003,VLOC-03-02,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-003-CN-2025-0023,2025-02-23,2025-03-30,2025-03-30,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000023,VENDOR-EVT-000023,2025-02-19T12:00:00Z,2025-03-30T12:00:00Z,ER-2026-000023
RC-2026-0024,RR-2026-0024,VND-003,VLOC-03-02,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-003-CN-2025-0024,2025-03-04,2025-03-18,2025-03-18,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000024,2025-02-28T12:00:00Z,2025-03-18T12:00:00Z,ER-2026-000024
RC-2026-0025,RR-2026-0025,VND-001,VLOC-01-01,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-001-CN-2025-0025,2025-03-13,2025-04-03,2025-04-03,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000025,VENDOR-EVT-000025,2025-03-09T12:00:00Z,2025-04-03T12:00:00Z,ER-2026-000025
RC-2026-0026,RR-2026-0026,VND-001,VLOC-01-01,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-001-CN-2025-0026,2025-03-22,2025-04-19,2025-04-19,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000026,VENDOR-EVT-000026,2025-03-18T12:00:00Z,2025-04-19T12:00:00Z,ER-2026-000026
RC-2026-0027,RR-2026-0027,VND-001,VLOC-01-01,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-001-CN-2025-0027,2025-03-31,2025-05-05,2025-05-05,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000027,2025-03-27T12:00:00Z,2025-05-05T12:00:00Z,ER-2026-000027
RC-2026-0028,RR-2026-0028,VND-001,VLOC-01-01,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-001-CN-2025-0028,2025-04-09,2025-04-23,2025-04-23,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000028,VENDOR-EVT-000028,2025-04-05T12:00:00Z,2025-04-23T12:00:00Z,ER-2026-000028
RC-2026-0029,RR-2026-0029,VND-001,VLOC-01-02,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-001-CN-2025-0029,2025-04-18,2025-05-09,2025-05-09,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000029,VENDOR-EVT-000029,2025-04-14T12:00:00Z,2025-05-09T12:00:00Z,ER-2026-000029
RC-2026-0030,RR-2026-0030,VND-001,VLOC-01-02,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-001-CN-2025-0030,2025-04-27,2025-05-25,2025-05-25,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000030,2025-04-23T12:00:00Z,2025-05-25T12:00:00Z,ER-2026-000030
RC-2026-0031,RR-2026-0031,VND-001,VLOC-01-02,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-001-CN-2025-0031,2025-05-06,2025-06-10,2025-06-10,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000031,VENDOR-EVT-000031,2025-05-02T12:00:00Z,2025-06-10T12:00:00Z,ER-2026-000031
RC-2026-0032,RR-2026-0032,VND-001,VLOC-01-02,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-001-CN-2025-0032,2025-05-15,2025-05-29,2025-05-29,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000032,VENDOR-EVT-000032,2025-05-11T12:00:00Z,2025-05-29T12:00:00Z,ER-2026-000032
RC-2026-0033,RR-2026-0033,VND-002,VLOC-02-01,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-002-CN-2025-0033,2025-05-24,2025-06-14,2025-06-14,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000033,2025-05-20T12:00:00Z,2025-06-14T12:00:00Z,ER-2026-000033
RC-2026-0035,RR-2026-0035,VND-002,VLOC-02-01,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-002-CN-2025-0035,2025-06-11,2025-07-16,2025-07-16,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000035,VENDOR-EVT-000035,2025-06-07T12:00:00Z,2025-07-16T12:00:00Z,ER-2026-000035
RC-2026-0036,RR-2026-0036,VND-002,VLOC-02-01,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-002-CN-2025-0036,2025-06-20,2025-07-04,2025-07-04,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000036,2025-06-16T12:00:00Z,2025-07-04T12:00:00Z,ER-2026-000036
RC-2026-0037,RR-2026-0037,VND-002,VLOC-02-02,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-002-CN-2025-0037,2025-06-29,2025-07-20,2025-07-20,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000037,VENDOR-EVT-000037,2025-06-25T12:00:00Z,2025-07-20T12:00:00Z,ER-2026-000037
RC-2026-0038,RR-2026-0038,VND-002,VLOC-02-02,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-002-CN-2025-0038,2025-07-08,2025-08-05,2025-08-05,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000038,VENDOR-EVT-000038,2025-07-04T12:00:00Z,2025-08-05T12:00:00Z,ER-2026-000038
RC-2026-0039,RR-2026-0039,VND-002,VLOC-02-02,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-002-CN-2025-0039,2025-07-17,2025-08-21,2025-08-21,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000039,2025-07-13T12:00:00Z,2025-08-21T12:00:00Z,ER-2026-000039
RC-2026-0040,RR-2026-0040,VND-002,VLOC-02-02,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-002-CN-2025-0040,2025-07-26,2025-08-09,2025-08-09,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000040,VENDOR-EVT-000040,2025-07-22T12:00:00Z,2025-08-09T12:00:00Z,ER-2026-000040
RC-2026-0041,RR-2026-0041,VND-003,VLOC-03-01,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-003-CN-2025-0041,2025-08-04,2025-08-25,2025-08-25,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000041,VENDOR-EVT-000041,2025-07-31T12:00:00Z,2025-08-25T12:00:00Z,ER-2026-000041
RC-2026-0042,RR-2026-0042,VND-003,VLOC-03-01,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-003-CN-2025-0042,2025-08-13,2025-09-10,2025-09-10,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000042,2025-08-09T12:00:00Z,2025-09-10T12:00:00Z,ER-2026-000042
RC-2026-0043,RR-2026-0043,VND-003,VLOC-03-01,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-003-CN-2025-0043,2025-08-22,2025-09-26,2025-09-26,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000043,VENDOR-EVT-000043,2025-08-18T12:00:00Z,2025-09-26T12:00:00Z,ER-2026-000043
RC-2026-0044,RR-2026-0044,VND-003,VLOC-03-01,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-003-CN-2025-0044,2025-08-31,2025-09-14,2025-09-14,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000044,VENDOR-EVT-000044,2025-08-27T12:00:00Z,2025-09-14T12:00:00Z,ER-2026-000044
RC-2026-0045,RR-2026-0045,VND-003,VLOC-03-02,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-003-CN-2025-0045,2025-09-09,2025-09-30,2025-09-30,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000045,2025-09-05T12:00:00Z,2025-09-30T12:00:00Z,ER-2026-000045
RC-2026-0046,RR-2026-0046,VND-003,VLOC-03-02,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-003-CN-2025-0046,2025-09-18,2025-10-16,2025-10-16,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000046,VENDOR-EVT-000046,2025-09-14T12:00:00Z,2025-10-16T12:00:00Z,ER-2026-000046
RC-2026-0047,RR-2026-0047,VND-003,VLOC-03-02,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-003-CN-2025-0047,2025-09-27,2025-11-01,2025-11-01,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000047,VENDOR-EVT-000047,2025-09-23T12:00:00Z,2025-11-01T12:00:00Z,ER-2026-000047
RC-2026-0048,RR-2026-0048,VND-003,VLOC-03-02,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-003-CN-2025-0048,2025-10-06,2025-10-20,2025-10-20,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000048,2025-10-02T12:00:00Z,2025-10-20T12:00:00Z,ER-2026-000048
RC-2026-0049,RR-2026-0049,VND-001,VLOC-01-01,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-001-CN-2025-0049,2025-10-15,2025-11-05,2025-11-05,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000049,VENDOR-EVT-000049,2025-10-11T12:00:00Z,2025-11-05T12:00:00Z,ER-2026-000049
RC-2026-0050,RR-2026-0050,VND-001,VLOC-01-01,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-001-CN-2025-0050,2025-10-24,2025-11-21,2025-11-21,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000050,VENDOR-EVT-000050,2025-10-20T12:00:00Z,2025-11-21T12:00:00Z,ER-2026-000050
RC-2026-0052,RR-2026-0052,VND-001,VLOC-01-01,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-001-CN-2025-0052,2025-11-11,2025-11-25,2025-11-25,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000052,VENDOR-EVT-000052,2025-11-07T12:00:00Z,2025-11-25T12:00:00Z,ER-2026-000052
RC-2026-0053,RR-2026-0053,VND-001,VLOC-01-02,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-001-CN-2025-0053,2025-11-20,2025-12-11,2025-12-11,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000053,VENDOR-EVT-000053,2025-11-16T12:00:00Z,2025-12-11T12:00:00Z,ER-2026-000053
RC-2026-0054,RR-2026-0054,VND-001,VLOC-01-02,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-001-CN-2025-0054,2025-11-29,2025-12-27,2025-12-27,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000054,2025-11-25T12:00:00Z,2025-12-27T12:00:00Z,ER-2026-000054
RC-2026-0055,RR-2026-0055,VND-001,VLOC-01-02,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-001-CN-2025-0055,2025-12-08,2026-01-12,2026-01-12,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000055,VENDOR-EVT-000055,2025-12-04T12:00:00Z,2026-01-12T12:00:00Z,ER-2026-000055
RC-2026-0056,RR-2026-0056,VND-001,VLOC-01-02,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-001-CN-2025-0056,2025-12-17,2025-12-31,2025-12-31,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000056,VENDOR-EVT-000056,2025-12-13T12:00:00Z,2025-12-31T12:00:00Z,ER-2026-000056
RC-2026-0057,RR-2026-0057,VND-002,VLOC-02-01,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-002-CN-2025-0057,2025-12-26,2026-01-16,2026-01-16,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000057,2025-12-22T12:00:00Z,2026-01-16T12:00:00Z,ER-2026-000057
RC-2026-0058,RR-2026-0058,VND-002,VLOC-02-01,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-002-CN-2026-0058,2026-01-04,2026-02-01,2026-02-01,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000058,VENDOR-EVT-000058,2025-12-31T12:00:00Z,2026-02-01T12:00:00Z,ER-2026-000058
RC-2026-0059,RR-2026-0059,VND-002,VLOC-02-01,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-002-CN-2026-0059,2026-01-13,2026-02-17,2026-02-17,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000059,VENDOR-EVT-000059,2026-01-09T12:00:00Z,2026-02-17T12:00:00Z,ER-2026-000059
RC-2026-0060,RR-2026-0060,VND-002,VLOC-02-01,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-002-CN-2026-0060,2026-01-22,2026-02-05,2026-02-05,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000060,2026-01-18T12:00:00Z,2026-02-05T12:00:00Z,ER-2026-000060
RC-2026-0061,RR-2026-0061,VND-002,VLOC-02-02,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-002-CN-2026-0061,2026-01-31,2026-02-21,2026-02-21,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000061,VENDOR-EVT-000061,2026-01-27T12:00:00Z,2026-02-21T12:00:00Z,ER-2026-000061
RC-2026-0062,RR-2026-0062,VND-002,VLOC-02-02,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-002-CN-2026-0062,2026-02-09,2026-03-09,2026-03-09,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000062,VENDOR-EVT-000062,2026-02-05T12:00:00Z,2026-03-09T12:00:00Z,ER-2026-000062
RC-2026-0063,RR-2026-0063,VND-002,VLOC-02-02,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-002-CN-2026-0063,2026-02-18,2026-03-25,2026-03-25,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000063,2026-02-14T12:00:00Z,2026-03-25T12:00:00Z,ER-2026-000063
RC-2026-0064,RR-2026-0064,VND-002,VLOC-02-02,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-002-CN-2026-0064,2026-02-27,2026-03-13,2026-03-13,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000064,VENDOR-EVT-000064,2026-02-23T12:00:00Z,2026-03-13T12:00:00Z,ER-2026-000064
RC-2026-0065,RR-2026-0065,VND-003,VLOC-03-01,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-003-CN-2026-0065,2026-03-08,2026-03-29,2026-03-29,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000065,VENDOR-EVT-000065,2026-03-04T12:00:00Z,2026-03-29T12:00:00Z,ER-2026-000065
RC-2026-0066,RR-2026-0066,VND-003,VLOC-03-01,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-003-CN-2026-0066,2026-03-17,2026-04-14,2026-04-14,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000066,2026-03-13T12:00:00Z,2026-04-14T12:00:00Z,ER-2026-000066
RC-2026-0067,RR-2026-0067,VND-003,VLOC-03-01,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-003-CN-2026-0067,2026-03-26,2026-04-30,2026-04-30,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000067,VENDOR-EVT-000067,2026-03-22T12:00:00Z,2026-04-30T12:00:00Z,ER-2026-000067
RC-2026-0069,RR-2026-0069,VND-003,VLOC-03-02,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-003-CN-2026-0069,2026-04-13,2026-05-04,2026-05-04,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000069,2026-04-09T12:00:00Z,2026-05-04T12:00:00Z,ER-2026-000069
RC-2026-0070,RR-2026-0070,VND-003,VLOC-03-02,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-003-CN-2026-0070,2026-04-22,2026-05-20,2026-05-20,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000070,VENDOR-EVT-000070,2026-04-18T12:00:00Z,2026-05-20T12:00:00Z,ER-2026-000070
RC-2026-0071,RR-2026-0071,VND-003,VLOC-03-02,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-003-CN-2026-0071,2026-05-01,2026-06-05,2026-06-05,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000071,VENDOR-EVT-000071,2026-04-27T12:00:00Z,2026-06-05T12:00:00Z,ER-2026-000071
RC-2026-0072,RR-2026-0072,VND-003,VLOC-03-02,DEP-004,STF-013,STF-014,LOC-PHX-001,LOC-PHX-001,VND-003-CN-2026-0072,2026-05-10,2026-05-24,2026-05-24,2370.00,2370.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000072,2026-05-06T12:00:00Z,2026-05-24T12:00:00Z,ER-2026-000072
RC-2026-0073,RR-2026-0073,VND-001,VLOC-01-01,DEP-001,STF-001,STF-002,LOC-CHI-001,LOC-CHI-001,VND-001-CN-2026-0073,2026-05-19,2026-06-09,2026-06-09,4365.00,4365.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000073,VENDOR-EVT-000073,2026-05-15T12:00:00Z,2026-06-09T12:00:00Z,ER-2026-000073
RC-2026-0074,RR-2026-0074,VND-001,VLOC-01-01,DEP-002,STF-005,STF-006,LOC-DAL-001,LOC-DAL-001,VND-001-CN-2026-0074,2026-05-28,2026-06-25,2026-06-25,2520.00,2520.00,0.00,0.00,USD,Weekly,Closed,CASE-ER-000074,VENDOR-EVT-000074,2026-05-24T12:00:00Z,2026-06-25T12:00:00Z,ER-2026-000074
RC-2026-0075,RR-2026-0075,VND-001,VLOC-01-01,DEP-003,STF-009,STF-010,LOC-ATL-001,LOC-ATL-001,VND-001-CN-2026-0075,2026-06-06,2026-07-11,2026-07-11,4875.00,4875.00,0.00,0.00,USD,Weekly,Closed,,VENDOR-EVT-000075,2026-06-02T12:00:00Z,2026-07-11T12:00:00Z,ER-2026-000075
